Node;Dist 1 ;Height 1 ;Dist 2 ;Height 2 ;Location;Question
C1;59;12.6;58;12,4;1;1
B1;60.2;14.4;60.8;13.8;1;0
B2/B3;58.2;15.8;18.4;15.6;1;0
B31;54.8;17.2;54.8;17;1;0
B32;55.6;17.8;55.6;17.6;1;0
B33/B34;55.4;18.4;54.4;18.4;1;0
E1XB31;62.6;20.2;61.2;19.8;1;0
F4/F5/F6;67.4;23.2;69.6;23;1;0
C1;64.4;11;63.4;11.2;2;0
B1;64.6;12.4;66;12.8;2;0
B2/B3;63.4;13.8;64.4;14;2;0
B31;61;15.4;60.4;15.6;2;0
B32;60.4;16.4;60.8;16.2;2;0
B33/B34;60.6;17;60.6;16.8;2;0
E1XB31;67.6;19.4;67;18.2;2;1
F4/F5/F6;74.2;21.8;73.2;21.4;2;0
C1;48.4;11;48;11.4;3;0
B1;50;13.6;49;13.4;3;0
B2/B3;46.8;14.4;47.2;14.2;3;0
B31;43.6;15.6;43.6;15.6;3;0
B32;43.6;16;44;16.2;3;0
B33/B34;44;17.4;44;17.4;3;0
E1XB31;48.4;19;48.4;19;3;0
F4/F5/F6;56.8;21.6;56.4;21.8;3;0
;;;;;;
